"species","pop1","pop2","Dxy","guild","behavior","dist","div","dist_effect","div_effect","adjusted_Dxy"
"AKY","AUS","NCD",0.208503622028573,"Generalist","Generalist",2278.14876225475,8260.3625,-0.0104179023102787,-0.0556051432135947,0.274526667552446
"CRP","FIJ","POL",0.260638460169642,"Generalist","Generalist",3298.73185547098,92607.375,-0.00533249241811677,0.0423246344542233,0.223646318133536
"CRP","PAU","PNG",0.143472694383489,"Generalist","Generalist",2264.9356147418,868.5775,-0.0104837414090405,-0.0641872594043526,0.218143695196882
"CRP","PAU","POL",0.313184643217273,"Generalist","Generalist",8852.12135184262,111566.375,0.0223392004284478,0.0643366844341104,0.226508758354714
"CRP","PAU","SOI",0.139384461182611,"Generalist","Generalist",3193.36461365015,620.90375,-0.00585752131329164,-0.0644748171322764,0.209716799628179
"CRP","PNG","POL",0.304600545702592,"Generalist","Generalist",6653.11071227284,105082.875,0.0113818658088863,0.0568091183154017,0.236409561578304
"CRP","PNG","SOI",0.118050762113754,"Generalist","Generalist",940.806106422237,232.98875,-0.0170816767901679,-0.0649251997668008,0.200057638670722
"CRP","PAU","FIJ",0.306930840400925,"Generalist","Generalist",5689.6697476603,72053.75,0.00658118642812706,0.0184611700959841,0.281888483876814
"CRP","PNG","FIJ",0.298588517881502,"Generalist","Generalist",3431.59902579486,74330.125,-0.00467043557355422,0.0211041196330359,0.28215483382202
"CRP","SOI","FIJ",0.294812709803689,"Generalist","Generalist",2496.40157268031,73959.875,-0.00933038184427471,0.0206742466700604,0.283468844977903
"CRP","SOI","POL",0.300650803725013,"Generalist","Generalist",5714.80598530276,104639.75,0.00670643646647118,0.0562946349751761,0.237649732283366
"CLK","IDN","NCD",0.271013969497359,"Generalist","Generalist",5117.17403588739,125102.5,0.00372852761453118,0.0800525903381137,0.187232851544714
"CLK","IDN","PHI",0.170852272727273,"Generalist","Generalist",1390.93699877583,14241.5,-0.0148387432084163,-0.0486608372066019,0.234351853142291
"CLK","IDN","PNG",0.274285888915262,"Generalist","Generalist",2912.73021189924,122738.375,-0.00725587973430719,0.0773077600380609,0.204234008611509
"CLK","IDN","SOI",0.272663126038452,"Generalist","Generalist",3856.53945963565,120687.375,-0.00255302220447378,0.0749264786145287,0.200289669628398
"CLK","IDN","TAI",0.175925901970093,"Generalist","Generalist",2645.17866591837,22937,-0.00858904828044345,-0.0385650631362338,0.22308001338677
"CLK","MDV","NCD",0.277446317725951,"Generalist","Generalist",10421.1676965493,129326.25,0.0301575190500961,0.0849565091156098,0.162332289560245
"CLK","MDV","PHI",0.233394042250178,"Generalist","Generalist",5518.57356943069,111523.5,0.00572864026793351,0.0642869050869461,0.163378496895298
"CLK","MDV","PNG",0.2856983622122,"Generalist","Generalist",8519.09853647924,128477.5,0.0206797985327849,0.0839710812227658,0.18104748245665
"CLK","MDV","SOI",0.283777290529314,"Generalist","Generalist",9441.39797230416,126456.25,0.0252754759505821,0.0816243405707353,0.176877474007997
"CLK","MDV","TAI",0.234869956088298,"Generalist","Generalist",5555.08852647423,112698.375,0.00591058872954862,0.0656509753026811,0.163308392056068
"CLK","MDV","THA",0.125343609067173,"Generalist","Generalist",2826.13300985979,40182.75,-0.00768738038409471,-0.0185421552328297,0.151573144684097
"CLK","PHI","PNG",0.276686244956088,"Generalist","Generalist",3551.38896052132,122584.5,-0.00407354059940801,0.0771291058795792,0.203630679675917
"CLK","PHI","SOI",0.274601495371469,"Generalist","Generalist",4481.92948025656,120523.125,0.000563200882567987,0.0747357787248089,0.199302515764092
"CLK","PHI","TAI",0.171906402800855,"Generalist","Generalist",1255.93163925619,22392.625,-0.0155114543236205,-0.039197101202999,0.226614958327474
"CLK","PNG","SOI",0.0910591799192974,"Generalist","Generalist",953.263692539994,6627.95,-0.0170196025385986,-0.0575004301769257,0.165579212634822
"CLK","MDV","IDN",0.22640182767624,"Generalist","Generalist",5623.58343109423,112004.875,0.00625188839229292,0.0648457979905311,0.155304141293416
"CLK","THA","IDN",0.229108794208403,"Generalist","Generalist",2913.49014530544,114074.5,-0.00725209310205063,0.067248703678575,0.169112183631878
"CLK","PHI","NCD",0.272999988131268,"Generalist","Generalist",5980.64457162388,124866.625,0.00803106959588687,0.0797787313640641,0.185190187171317
"CLK","PNG","NCD",0.131409756097561,"Generalist","Generalist",2461.26550669887,31679.625,-0.00950545950203855,-0.0284145753227726,0.169329790922372
"CLK","SOI","NCD",0.127893822325085,"Generalist","Generalist",1649.99791085453,29984.75,-0.0135478821960064,-0.0303823833933281,0.171824087914419
"CLK","TAI","NCD",0.273097828022076,"Generalist","Generalist",6926.25577020301,125642.5,0.0127429059719325,0.0806795488796581,0.179675373170485
"CLK","THA","NCD",0.281495810337665,"Generalist","Generalist",7981.90186462149,131392.5,0.0180030294512075,0.087355496312769,0.176137284573689
